individualID,specimenID,organ,tissue,BrodmannArea,tissueWeight,nucleicAcidSource,cellType,tissueVolume,fastingState
APOE4-16,APOE_3M_1,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-15,APOE_3M_2,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-9,APOE_3M_3,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-4,APOE_3M_4,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-8,APOE_3M_5,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-7,APOE_3M_6,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-2,APOE_3M_7,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-6,APOE_3M_8,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-3,APOE_3M_9,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-1,APOE_3M_10,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-3,APOE_3M_11,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-16,APOE_3M_12,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-14,APOE_3M_13,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-14,APOE_3M_14,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-6,APOE_3M_15,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-9,APOE_3M_16,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-8,APOE_3M_17,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-1,APOE_3M_18,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-4,APOE_3M_19,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-5,APOE_3M_20,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-10,APOE_3M_21,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-8,APOE_3M_22,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-11,APOE_3M_23,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-10,APOE_3M_24,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-2,APOE_3M_25,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-15,APOE_3M_26,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-7,APOE_3M_27,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-14,APOE_3M_28,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-5,APOE_3M_29,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-1,APOE_3M_30,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-11,APOE_3M_31,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-4,APOE_3M_32,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-2,APOE_3M_33,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-15,APOE_3M_34,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-12,APOE_3M_35,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-10,APOE_3M_36,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-13,APOE_3M_37,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-3,APOE_3M_38,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-11,APOE_3M_39,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-13,APOE_3M_40,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-16,APOE_3M_41,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-9,APOE_3M_42,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-7,APOE_3M_43,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-5,APOE_3M_44,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-13,APOE_3M_45,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE3-12,APOE_3M_46,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE2-6,APOE_3M_47,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
APOE4-12,APOE_3M_48,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE2_12M_15,ApoE-1,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_12,ApoE-2,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE4_24M_12,ApoE-3,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_24M_16,ApoE-4,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
ApoE3_12M_7,ApoE-5,brain,cerebral cortex,n/a,whole cerebral cortex,bulk cell,NA,NA,NA
